id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
MOLIERE_DOMGARCIEDENAVARRE_1682,MOLIÈRE,"DON GARCIE DE NAVARRE, COMÉDIE",1682,Comédie,moeurs espagnoles,Cinq actes,vers,1661-1670,1750-2000,
MOLIERE_MALADEIMAGINAIRE_1682,MOLIÈRE,"LE MALADE IMAGINAIRE, COMÉDIE.",1682,Comédie,moeurs françaises,"Trois actes, un prologue",mixte,1671-1680,250-500,
MOLIERE_MELICERTE_1682,MOLIÈRE,"MÉLICERTE, COMÉDIE PASTORALE HÉROÏQUE",1682,Comédie héroïque,pastorale,Deux actes,vers,1661-1670,500-750,
MOLIERE_TARTUFFE64_2011,MOLIÈRE,"LE TARTUFFE ou L'HYPOCRITE, COMÉDIE",2011,Comédie,moeurs françaises,Trois actes,vers,1661-1670,1000-1250,
RACINE_THEBAIDE64_1664,"RACINE, Jean","LA THÉBAÏDE ou LES FRÈRES ENNEMIS, TRAGÉDIE.",1664,Tragédie,mythe grec,Cinq actes,vers,1661-1670,1500-1750,
RACINE_ALEXANDRE66_1666,"RACINE, Jean","ALEXANDRE LE GRAND, TRAGÉDIE.",1666,Tragédie,histoire grecque,Cinq actes,vers,1661-1670,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k70166m
RACINE_ANDROMAQUE68_1668,"RACINE, Jean","ANDROMAQUE, TRAGÉDIE",1668,Tragédie,mythe grec,Cinq actes,vers,1661-1670,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k70167z
RACINE_PLAIDEURS69_1669,"RACINE, Jean","LES PLAIDEURS, COMÉDIE.",1669,Comédie,moeurs françaises,Trois actes,vers,1661-1670,750-1000,http://gallica.bnf.fr/ark:/12148/bpt6k701689
RACINE_BRITANNICUS_1670,"RACINE, Jean","BRITANNICUS, TRAGÉDIE",1670,Tragédie,histoire romaine,Cinq actes,vers,1661-1670,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k704115
RACINE_BERENICE_1671,"RACINE, Jean","BÉRÉNICE, TRAGÉDIE",1671,Tragédie,histoire romaine,Cinq actes,vers,1671-1680,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k70159b
RACINE_BAJAZET_1672,"RACINE, Jean","BAJAZET, TRAGÉDIE",1672,Tragédie,histoire orientale,Cinq actes,vers,1671-1680,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b8610814m
RACINE_MITHRIDATE_1673,"RACINE, Jean","MITHRIDATE, TRAGÉDIE.",1673,Tragédie,histoire romaine,Cinq actes,vers,1671-1680,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k70412h
RACINE_IPHIGENIE_1675,"RACINE, Jean","IPHIGÉNIE, TRAGÉDIE.",1675,Tragédie,mythe grec,Cinq actes,vers,1671-1680,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k70413v
RACINE_PHEDRE77_1677,"RACINE, Jean","PHÈDRE, TRAGÉDIE",1677,Tragédie,mythe grec,Cinq actes,vers,1671-1680,1500-1750,http://gallica.bnf.fr/ark:/12148/btv1b8610817v
RACINE_ESTHER_1689,"RACINE, Jean","ESTHER, TRAGÉDIE tirée de l'écriture sainte.",1689,Tragédie,bible,"Trois actes, un prologue",vers,1681-1690,1250-1500,http://gallica.bnf.fr/ark:/12148/bpt6k704146
RACINE_ATHALIE_1691,"RACINE, Jean","ATHALIE, TRAGÉDIE tirée de l'écriture sainte.",1691,Tragédie,bible,Cinq actes,vers,1691-1700,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k70415j
RACINE_ALEXANDRE_1697,"RACINE, Jean","ALEXANDRE LE GRAND, TRAGÉDIE.",1697,Tragédie,histoire grecque,Cinq actes,vers,1691-1700,1500-1750,
RACINE_ANDROMAQUE_1697,"RACINE, Jean","ANDROMAQUE, TRAGÉDIE",1697,Tragédie,mythe grec,Cinq actes,vers,1691-1700,1500-1750,
RACINE_PHEDRE_1697,"RACINE, Jean","PHÈDRE, TRAGÉDIE",1697,Tragédie,mythe grec,Cinq actes,vers,1691-1700,1500-1750,http://gallica.bnf.fr/ark:/12148/btv1b8610817v
RACINE_THEBAIDE_1697,"RACINE, Jean","LA THÉBAÏDE ou LES FRÈRES ENNEMIS, TRAGÉDIE.",1697,Tragédie,mythe grec,Cinq actes,vers,1691-1700,1500-1750,
RACINE_PLAIDEURS_1697,"RACINE, Jean","LES PLAIDEURS, COMÉDIE.",1697,Comédie,moeurs françaises,Trois actes,vers,1661-1670,750-1000,
ROTROU_BAGUEDELOUBLI_1635,"ROTROU, Jean","LA BAGUE DE L'OUBLI, COMÉDIE",1635,Comédie,pastorale,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b86221284
ROTROU_HERCULEMOURANT_1636,"ROTROU, Jean","HERCULE MOURANT, TRAGÉDIE",1636,Tragédie,mythe grec,Cinq actes,vers,1621-1630,1250-1500,http://gallica.bnf.fr/ark:/12148/bpt6k72394w
ROTROU_AGESILAN_1637,"ROTROU, Jean","AGESILAN de COLCHOS, TRAGI-COMÉDIE",1637,Tragi-comédie,histoire grecque,Cinq actes,vers,1631-1640,1750-2000,
ROTROU_AMELIE_1637,"ROTROU, Jean","AMÉLIE, TRAGI-COMÉDIE",1637,Tragi-comédie,histoire romaine,Cinq actes,vers,1631-1640,1750-2000,
ROTROU_CELIANE_1637,"ROTROU, Jean","LA CÉLIANE, TRAGI-COMÉDIE",1637,Tragi-comédie,pastorale,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b86221284
